S/N,.name, .prc, .dsct 
1, ,, 
2, ,, 
3, ,, 
4, ,, 
5, ,, 
6, ,, 
7, ,, 
8, ,, 
9, ,, 
10, ,, 
11, ,, 
12, ,, 
13, ,, 
14, ,, 
15, ,, 
16, M40 Ultra-thin Wireless Mouse 2.4G Rechargeable Wireless,₦ 3380, 
17, 2.4G Wireless Mouse Ultra-thin Mute 4 Keys,₦ 2170, 
18, Hxsj 2.4GHz Optical Wireless Rechargeable Silent Gaming Mouse,₦ 5886, 
19, Wired RGB Ergonomic Game Mouse,₦ 3280, 
20, T-20 Mouse Wired Vertical Mouse Ergonomic Rechargeable,₦ 5870, 
21, High Speed 4 Port USB 3.0 Multi HUB Splitter Expansion USB,₦ 2960, 
22, VINSA Controller Knob Professional Graphics Tablet Set(43pcs),₦ 25890, 
23, Kkmoon 2.4GHz Wireless PowerPoint Clicker Laser Pointer,₦ 4850, 
24, Condenser Microphone Audio 3.5mm With Stand For PC Phone,₦ 6290, 
25, VEIKK S640 6*4 Inch Digital Graphics Tablets,₦ 15648, 
26, High Speed 3-Port USB 2.0 Data Gaming HUB,₦ 2520, 
27, USB Handle Keyboard With 6 Shortcuts,₦ 3890, 
28, Hp 240 G8 Intel Core I3 10th Gen 1TB HDD 12GB RAM WIN 10 PRO,₦ 283280, 
29, Hp 2G1X4EA HP 14-CF2239NIA INTL PENTIUM N5030 4GB,1TB 14 SCRN,₦ 254100, 
30, Hp GAMING PAVILION 15 8GB/1TB INTEL CORE I7 B&O WIN 10,₦ 772000, 
31, Hp 20-C403nh All-In-One Intl Cel-J4005u 4gb 500gb 19.5" Led Scrn, Windows 10 Home - 64 Bit 4MQ82EA,₦ 264600, 
32, Hp LAPTOP 15 INTEL CORE I5 4GB/1TB HDD WLAN 15.6" DOS,₦ 347000, 
33, Hp DeskJet 2720 All-in-One Printer - 3XV18B,₦ 32000, 
34, Hp OFFICEJET PRO 7740 WIDE FORMAT AIO PRINTER,₦ 115500, 
35, Hp 90W Smart Power AC Adapter,₦ 17250, 
36, DELL OptiPlex 3070 3.6GHz Core I3 4GB RAM 1TB,₦ 248000, 
37, Hp DC 6000 SFF ( Windows 10 Pro And Office 2016 Preloaded),₦ 154080, 
38, Hp Elitedesk 705 SFF 8GB RAM500GB HDD Win 10& Office 2016,₦ 170000, 
39, Hp Prodesk 600 Sff - Intel Core I3 - 4GB RAM - 500GB HDD - Windows 10 Pro & Office 2016 Preloaded,₦ 190000, 
40, Hp 6300 Pro SFF Intel Core I5 (3.2gHZ) 8GB Ram 1TB HDD Win 10 Pro & MS Office Pro Preloaded,₦ 199500, 
41, Hp ProDesk 600 SFF Business PC 3.3GHz Intel Core I3 8GB RAM 1TB HDD Win10 Pro And MSOffice Suite 2016,₦ 171000, 
42, Lenovo V130 ALL-IN-ONE PC 19.5-inches DUAL CORE 4GB/ 1TB FREEDOS 10RX000YUM,₦ 210000, 
43, DELL OptiPlex 3060 Micro Desktop PC I3 1TB 4GB Dos (0269SAP),₦ 207000, 
44, Hp 260 G2 Mini Desktop - Core I3 6100U 2.3 GHz - 4 GB - 500 GB,₦ 198550, 
45, Lenovo S200Z All In One Desktop Intel Pentium 4GB RAM 500GB HDD (FREEDOS),₦ 195200, 
46, 128GB 2 In 1 OTG USB 2.0 Flash Drive For PC & Android,₦ 3791, 
47, Eaget Pen Flash Drive 3.0 32GB - Metal OTG Micro USB Type-C,₦ 2080, 
48, Hp Deskjet 2710 AIO Wireless Printer Print/Scan/Copy,₦ 26490, 
